game_id,hits,multiplication,answer,result
101,0,0 x 14,0,0
102,3,4 x 4,9,16
103,15,2 x 10,55,20
104,4,3 x 5,63,15
105,0,3 x 2,0,6
106,2,3 x 11,71,33
107,6,8 x 11,92,88
108,6,10 x 15,0,150
109,2,4 x 7,52,28
110,12,6 x 11,0,66
111,0,3 x 1,97,3
112,11,4 x 14,58,56
113,0,7 x 8,98,56
114,1,5 x 7,83,35
115,2,8 x 10,1,80
116,2,5 x 6,24,30
117,3,8 x 2,0,16
118,15,3 x 14,70,42
119,2,3 x 6,27,18
120,2,4 x 12,0,48
121,1,5 x 6,36,30
122,3,2 x 15,49,30
123,0,2 x 9,84,18
124,0,2 x 8,0,16
125,16,6 x 13,0,78
126,5,1 x 5,0,5
127,3,3 x 15,0,45
128,8,7 x 15,0,105
129,0,5 x 5,65,25
130,5,7 x 12,75,84
131,14,9 x 2,45,18
132,1,3 x 15,21,45
133,3,5 x 13,33,65
134,2,7 x 2,4,14
135,3,1 x 9,0,9
136,0,3 x 1,26,3
137,7,9 x 8,82,72
138,1,2 x 7,0,14
139,8,8 x 6,0,48
140,11,4 x 15,0,60
141,1,6 x 7,17,42
142,13,9 x 13,9,117
143,2,5 x 14,60,70
144,0,2 x 14,0,28
145,4,6 x 12,18,72
146,7,3 x 13,0,39
147,7,5 x 14,0,70
148,6,4 x 12,40,48
149,0,4 x 9,63,36
150,7,2 x 6,47,12
151,2,9 x 3,0,27
152,1,7 x 3,0,21
153,0,2 x 15,0,30
154,0,8 x 12,0,96
155,0,3 x 14,69,42
156,3,5 x 1,0,5
157,1,9 x 8,87,72
158,0,8 x 11,0,88
159,1,6 x 2,48,12
160,12,2 x 14,67,28
161,5,4 x 8,40,32
162,8,1 x 15,70,15
163,35,4 x 12,92,48
164,10,7 x 14,61,98
165,0,2 x 1,0,2
166,5,3 x 13,0,39
167,5,6 x 4,13,24
168,1,4 x 7,0,28
169,1,4 x 2,3,8
170,8,4 x 7,70,28
171,2,5 x 14,93,70
172,11,2 x 9,0,18
173,6,9 x 13,37,117
174,2,8 x 9,87,72
175,0,3 x 4,24,12
176,13,7 x 4,82,28
177,0,4 x 13,64,52
178,8,2 x 6,46,12
179,8,5 x 5,0,25
180,5,5 x 3,0,15
181,6,4 x 12,74,48
182,0,5 x 10,0,50
183,5,2 x 5,82,10
184,0,3 x 5,0,15
185,6,9 x 4,87,36
186,29,5 x 2,50,10
187,4,3 x 2,2,6
188,0,3 x 8,0,24
189,6,4 x 2,0,8
190,8,4 x 13,90,52
191,28,3 x 6,68,18
192,3,7 x 4,23,28
193,2,7 x 7,70,49
194,4,8 x 14,20,112
195,9,9 x 14,35,126
196,0,4 x 7,57,28
197,7,5 x 9,0,45
198,18,5 x 7,0,35
199,13,3 x 5,0,15
200,0,3 x 6,0,18
201,1,8 x 4,8,32
202,4,6 x 11,0,66
203,6,7 x 14,4,98
204,22,5 x 5,20,25
205,1,8 x 14,16,112
206,0,3 x 8,0,24
207,0,7 x 4,34,28
208,0,1 x 2,0,2
209,3,0 x 6,0,0
210,4,10 x 5,0,50
211,6,4 x 8,63,32
212,13,7 x 5,30,35
213,0,2 x 4,0,8
214,1,5 x 13,91,65
215,8,8 x 12,78,96
216,2,7 x 9,54,63
217,2,5 x 14,66,70
218,11,7 x 13,61,91
219,4,9 x 3,0,27
220,5,7 x 9,71,63
221,0,7 x 5,0,35
222,0,0 x 6,0,0
223,17,4 x 6,26,24
224,7,5 x 9,60,45
225,5,8 x 15,96,120
226,1,5 x 14,76,70
227,4,3 x 14,0,42
228,4,3 x 12,31,36
229,5,6 x 14,23,84
230,15,4 x 10,0,40
231,2,7 x 5,59,35
232,2,1 x 13,70,13
233,10,3 x 13,17,39
234,10,4 x 10,60,40
235,20,4 x 14,79,56
236,2,10 x 10,0,100
237,13,4 x 12,75,48
238,0,5 x 3,12,15
239,2,8 x 13,68,104
240,2,7 x 9,30,63
241,10,3 x 5,23,15
242,3,4 x 5,44,20
243,10,3 x 9,0,27
244,13,4 x 14,76,56
245,12,9 x 3,14,27
246,4,5 x 12,72,60
247,9,4 x 13,36,52
248,11,2 x 14,71,28
249,17,2 x 14,37,28
250,6,5 x 9,24,45
251,15,6 x 14,36,84
252,8,6 x 9,23,54
253,2,3 x 3,0,9
254,2,7 x 15,0,105
255,7,6 x 4,36,24
256,0,10 x 5,0,50
257,3,7 x 9,78,63
258,0,6 x 4,55,24
259,9,5 x 12,0,60
260,0,9 x 9,0,81
261,4,5 x 11,86,55
262,8,4 x 1,0,4
263,1,3 x 13,16,39
264,0,1 x 1,0,1
265,2,5 x 12,76,60
266,3,4 x 9,0,36
267,18,6 x 12,49,72
268,2,7 x 11,79,77
269,3,4 x 15,65,60
270,0,4 x 13,85,52
271,24,5 x 1,56,5
272,1,9 x 9,95,81
273,1,8 x 5,85,40
274,1,3 x 8,48,24
275,0,3 x 8,0,24
276,17,4 x 6,36,24
277,6,7 x 13,94,91
278,3,6 x 8,0,48
279,0,1 x 9,0,9
280,7,3 x 9,0,27
281,7,4 x 3,21,12
282,0,2 x 3,0,6
283,2,4 x 15,65,60
284,4,3 x 8,50,24
285,21,9 x 11,22,99
286,4,4 x 4,34,16
287,16,7 x 14,73,98
288,4,4 x 2,16,8
289,16,7 x 14,0,98
290,16,8 x 0,0,0
291,13,7 x 4,62,28
292,15,6 x 3,43,18
293,8,4 x 13,55,52
294,0,5 x 1,10,5
295,1,9 x 5,85,45
296,1,7 x 3,69,21
297,4,4 x 7,78,28
298,1,3 x 6,93,18
299,3,6 x 7,26,42
300,0,3 x 9,9,27
301,10,3 x 12,0,36
302,1,8 x 8,26,64
303,9,6 x 13,0,78
304,3,3 x 14,0,42
305,19,8 x 1,0,8
306,8,3 x 1,0,3
307,2,6 x 7,78,42
308,5,3 x 0,52,0
309,0,3 x 7,74,21
310,4,8 x 4,12,32
311,15,5 x 14,62,70
312,7,1 x 10,90,10
313,1,6 x 12,0,72
314,19,4 x 13,25,52
315,0,0 x 15,82,0
316,2,8 x 12,27,96
317,1,1 x 8,4,8
318,3,4 x 14,0,56
319,0,6 x 12,0,72
320,7,3 x 8,0,24
321,1,9 x 6,0,54
322,4,4 x 12,24,48
323,3,7 x 12,96,84
324,3,8 x 6,0,48
325,0,1 x 11,20,11
326,0,7 x 6,0,42
327,0,4 x 15,0,60
328,10,6 x 15,62,90
329,0,1 x 12,0,12
330,5,5 x 12,56,60
331,0,10 x 0,17,0
332,0,5 x 6,0,30
333,0,3 x 2,0,6
334,0,7 x 15,68,105
335,7,3 x 4,0,12
336,0,3 x 15,0,45
337,0,1 x 2,16,2
338,0,2 x 15,98,30
339,4,9 x 7,0,63
340,1,3 x 2,11,6
341,3,9 x 13,43,117
342,19,4 x 12,81,48
343,0,5 x 12,0,60
344,4,4 x 12,34,48
345,0,10 x 11,0,110
346,4,5 x 6,6,30
347,12,2 x 15,91,30
348,0,4 x 15,80,60
349,0,9 x 14,0,126
350,7,3 x 7,0,21
351,1,4 x 4,0,16
352,0,7 x 9,96,63
353,0,10 x 11,16,110
354,2,5 x 14,0,70
355,7,2 x 5,0,10
356,6,8 x 6,57,48
357,5,4 x 7,21,28
358,0,7 x 1,0,7
359,2,4 x 2,52,8
360,4,6 x 7,80,42
361,9,8 x 10,5,80
362,1,4 x 7,0,28
363,17,3 x 10,0,30
364,6,1 x 7,64,7
365,8,5 x 14,45,70
366,0,8 x 4,0,32
367,6,8 x 8,0,64
368,4,4 x 3,10,12
369,3,5 x 8,0,40
370,0,5 x 5,0,25
371,1,3 x 6,0,18
372,1,6 x 14,0,84
373,0,3 x 4,71,12
374,17,1 x 10,0,10
375,20,8 x 5,0,40
376,0,3 x 5,0,15
377,0,7 x 2,0,14
378,0,4 x 13,0,52
379,3,2 x 9,0,18
380,0,4 x 6,0,24
381,6,6 x 13,62,78
382,8,4 x 15,33,60
383,2,10 x 0,0,0
384,5,9 x 5,0,45
385,1,7 x 14,63,98
386,4,3 x 9,0,27
387,0,6 x 7,46,42
388,11,5 x 10,0,50
389,6,5 x 7,79,35
390,14,4 x 7,0,28
391,6,3 x 12,97,36
392,5,8 x 8,0,64
393,4,6 x 15,0,90
394,11,8 x 4,78,32
395,1,5 x 7,0,35
396,11,5 x 11,0,55
397,3,4 x 3,8,12
398,24,10 x 3,0,30
399,8,6 x 2,0,12
400,1,3 x 13,96,39
401,3,6 x 5,21,30
402,8,10 x 13,0,130
403,4,8 x 15,49,120
404,10,3 x 13,43,39
405,1,0 x 14,0,0
406,10,4 x 15,0,60
407,2,10 x 15,0,150
408,1,10 x 13,0,130
409,0,2 x 4,0,8
410,2,3 x 6,72,18
411,3,8 x 9,61,72
412,4,9 x 3,20,27
413,5,7 x 3,85,21
414,1,1 x 2,1,2
415,5,7 x 4,12,28
416,6,3 x 12,45,36
417,0,2 x 6,0,12
418,5,0 x 14,65,0
419,0,2 x 8,0,16
420,0,10 x 6,0,60
421,0,5 x 5,0,25
422,7,1 x 4,1,4
423,16,6 x 8,26,48
424,17,9 x 4,30,36
425,1,3 x 8,0,24
426,0,7 x 6,0,42
427,0,4 x 3,0,12
428,6,7 x 14,0,98
429,2,6 x 8,71,48
430,5,8 x 12,76,96
431,0,4 x 8,0,32
432,0,0 x 1,0,0
433,0,3 x 2,0,6
434,0,0 x 11,59,0
